mal_id,title,type,source,episodes,aired_from,duration,rating,score,scored_by,rank,popularity,members,favorites,season,studios,producers,licensors,genres
59851,Kiteretsu Daihyakka & Doraemon: Korosuke no Hajimete no Otsukai,Movie,Manga,1.0,2015-09-03,Unknown,PG - Children,,,17938.0,24070,176,0,,Inconnu,Inconnu,Inconnu,Sci-Fi
59852,Pokonyan & Doraemon: Ponpoko-nyan de Koko Hore Nyan Nyan!?,Movie,Manga,1.0,2016-09-03,Unknown,PG - Children,,,19544.0,24647,158,0,,Inconnu,Inconnu,Inconnu,Sci-Fi
59853,Dark Moon: Tsuki no Saidan,TV,Web manga,12.0,2026-01-10,23 min per ep,PG-13 - Teens 13 or older,6.38,8308.0,8738.0,4541,31708,162,winter,TROYCA,Aniplex|Magic Capsule|Crunchyroll|Line Digital Frontier|HYBE Japan,Inconnu,Fantasy
59854,Umeboshi Denka & Doraemon: Panparopan no Suppappa!,Movie,Manga,1.0,2017-09-01,Unknown,PG - Children,,,21246.0,24793,154,0,,Inconnu,Inconnu,Inconnu,Sci-Fi
59855,Doraemon & F-Chara All Stars: Getsumen Race de Dai-Pinch!?,Movie,Manga,1.0,2019-03-09,Unknown,PG - Children,,,16271.0,23749,186,0,,Inconnu,Inconnu,Inconnu,Action|Sci-Fi
59856,Doraemon Tanjou,Movie,Manga,1.0,2020-02-08,9 min,PG - Children,,,16277.0,23511,194,0,,Inconnu,Inconnu,Inconnu,Sci-Fi
59857,Doraemon & F-Chara All Stars: Sukoshi Fushigi Express,Movie,Manga,1.0,2021-09-01,Unknown,PG - Children,,,16272.0,23413,197,1,,Inconnu,Inconnu,Inconnu,Action|Adventure|Sci-Fi
59858,Doraemon & SF Tanpen: Sora kara no Otoshidama,Movie,Manga,1.0,2023-02-09,Unknown,PG - Children,,,16274.0,23594,191,0,,Inconnu,Inconnu,Inconnu,Adventure|Sci-Fi
59859,"Doraemon & F-Chara All Stars: Yume no Machi, F Land",Movie,Manga,1.0,2024-02-21,Unknown,PG - Children,,,16273.0,22735,227,2,,Inconnu,Inconnu,Inconnu,Action|Adventure|Sci-Fi
59862,Kyouryuu Chou Densetsu: Darwin ga Kita Movie!,Movie,Original,1.0,2020-02-21,1 hr 26 min,G - All Ages,,,18189.0,29877,43,0,,Inconnu,Inconnu,Inconnu,Action|Adventure
59865,Shinobanai! Crypto Ninja Sakuya: San no Maki,TV,Other,13.0,2025-07-07,3 min per ep,G - All Ages,,,20385.0,20006,386,0,summer,Fanworks,Inconnu,Inconnu,Action
59868,Jibi Eopseo,ONA,Web manga,8.0,2024-11-01,6 min per ep,PG-13 - Teens 13 or older,6.87,719.0,5693.0,11822,2584,8,,LICO,Inconnu,Inconnu,Slice of Life
59873,Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san Season 2,TV,Light novel,,2027-01-01,Unknown,PG-13 - Teens 13 or older,,,,2409,98605,701,,Doga Kobo,Kadokawa,Inconnu,Comedy|Romance
59874,Salangui Hachyuping,Movie,Original,1.0,2024-08-07,1 hr 26 min,PG - Children,,,19990.0,22290,251,0,,SAMG Entertainment,Studio Goindol,Inconnu,Inconnu
59875,Dan Yuan Meng Changjiu,ONA,Game,1.0,2024-09-14,3 min,G - All Ages,6.33,219.0,9058.0,18117,537,0,,Shanghai Animation Film Studio,Inconnu,Inconnu,Fantasy
59876,Senlin Fei Xia,Movie,Original,1.0,2024-09-15,1 hr 21 min,PG - Children,,,20109.0,27052,111,0,,Inconnu,Inconnu,Inconnu,Adventure|Fantasy
